States,Gram_Panchayat_Development_Plans_Uploaded,Gram_Panchayats_Ported,Total_Number_of_Block_Panchayats_&_Equivalent,Block_Panchayats_Plan_uploaded,Total_Number_of_ZillaPanchayats&_Equivalent,ZillaPanchayats_Plan_uploaded,Gram_Panchayat_on_onboard,Gram_Panchayat_With_Online_Payment,Plans_Uploaded,Total_number(sum),Adoption_percentage
Andhra Pradesh,13371,13351,13073,660,660,13,13,0,0,26722,0.0
Arunachal Pradesh,2108,1577,2034,0,0,25,0,3,0,3685,0.0
Assam,2666,2119,2201,192,32,26,7,2174,855,5640,40.35
Bihar,8135,8135,8135,534,533,38,37,8135,7863,24133,96.66
Chhattisgarh,11658,11658,11657,146,146,27,26,11613,10836,34152,92.95
Goa,191,191,191,0,0,2,1,177,26,408,13.61
Gujarat,14270,14042,14225,248,8,33,3,14210,11809,40121,84.1
Haryana,6225,6154,6224,142,35,22,8,5861,3276,15655,53.23
Himachal Pradesh,3615,3200,3611,81,76,12,11,3540,517,7332,16.16
Jammu And Kashmir,4291,2016,0,275,2,20,0,0,0,6307,0.0
Jharkhand,4351,4348,4351,263,263,24,24,4349,4345,13044,99.93
Karnataka,5965,4865,5965,229,159,31,18,5965,5899,16729,121.25
Kerala,941,941,941,152,152,14,14,941,606,2488,64.4
Ladakh,193,193,0,31,0,2,0,0,0,386,0.0
Madhya Pradesh,22741,22695,22741,313,309,51,51,22689,21775,67211,95.95
Maharashtra,27898,27875,27403,351,72,34,4,26678,15381,71154,55.18
Manipur,3818,2631,161,0,0,6,6,161,152,6601,5.78
Meghalaya,9015,0,0,0,0,0,0,0,0,9015,
Mizoram,834,834,834,0,0,0,0,834,828,2496,99.28
Nagaland,1288,1195,662,0,0,0,0,5,0,2483,0.0
Odisha,6798,6724,6798,314,313,30,30,6792,6635,20157,98.68
Punjab,13248,13157,13248,151,143,22,20,12882,9879,36284,75.09
Rajasthan,11307,11281,11234,352,331,33,25,10061,7774,30362,68.91
Sikkim,185,161,185,0,0,4,4,172,102,448,63.35
Tamil Nadu,12525,12523,12496,388,381,37,30,11743,5874,30922,46.91
Telangana,12769,12769,1,540,532,32,31,0,0,25538,0.0
Tripura,1219,1178,1178,35,35,8,9,1178,1177,3574,99.92
Uttarakhand,7791,7791,7789,95,95,13,13,7787,5846,21428,75.04
Uttar Pradesh,58189,58189,58189,826,740,75,75,58189,57052,173430,98.05
West Bengal,3341,3228,3229,344,333,22,21,3222,3170,9739,98.2
